# r g_fit g_target
1.000000000000000021e-02 9.433543662354234791e-03 0.000000000000000000e+00
2.999999999999999889e-02 3.144514554118078408e-03 0.000000000000000000e+00
5.000000000000000278e-02 1.320696112729592697e-03 0.000000000000000000e+00
7.000000000000000666e-02 2.310255590780628619e-03 0.000000000000000000e+00
8.999999999999999667e-02 2.882471674608238360e-03 0.000000000000000000e+00
1.100000000000000006e-01 7.211593295601378311e-04 0.000000000000000000e+00
1.300000000000000044e-01 2.232791399373783097e-04 0.000000000000000000e+00
1.500000000000000222e-01 3.144514554118077270e-05 0.000000000000000000e+00
1.699999999999999845e-01 3.264201959292123569e-05 0.000000000000000000e+00
1.900000000000000022e-01 3.266462486964762709e-05 0.000000000000000000e+00
2.100000000000000200e-01 3.208688320528650483e-05 0.000000000000000000e+00
2.299999999999999822e-01 5.795655369121222771e-04 0.000000000000000000e+00
2.500000000000000000e-01 4.946572954792066712e-02 9.625899999999999734e-02
2.700000000000000178e-01 4.256643945341505586e-01 2.288712999999999997e+00
2.900000000000000355e-01 1.261545774896644101e+00 2.151079999999996772e+00
3.099999999999999978e-01 3.051110855808047972e+00 1.252906999999999993e+00
3.300000000000000155e-01 2.587989619129985819e+00 9.807970000000000299e-01
3.499999999999999778e-01 8.274680953758826174e-01 9.259500000000000508e-01
3.699999999999999956e-01 4.153791175797760249e-01 9.293320000000000469e-01
3.900000000000000133e-01 5.792713692246186374e-01 9.540229999999999544e-01
4.100000000000000311e-01 1.017042351627724051e+00 9.801430000000000975e-01
4.299999999999999933e-01 1.236490638756999383e+00 9.993910000000000293e-01
4.500000000000000111e-01 1.053908510148094502e+00 1.007031999999999927e+00
4.699999999999999734e-01 8.511029356359774978e-01 1.006509000000000098e+00
4.899999999999999911e-01 8.183108001328953662e-01 1.001142999999999894e+00
5.100000000000000089e-01 9.003358113030192067e-01 9.994750000000000023e-01
5.300000000000000266e-01 9.802405630369427358e-01 9.967979999999999619e-01
5.500000000000000444e-01 9.844729221276732334e-01 9.835610000000000186e-01
5.700000000000000622e-01 9.817694168432342661e-01 9.679109999999999658e-01
5.899999999999999689e-01 1.032457451688012284e+00 9.673720000000000097e-01
6.099999999999999867e-01 1.059801968358308644e+00 9.792570000000000441e-01
6.300000000000000044e-01 1.013424394535738404e+00 9.953170000000000073e-01
6.500000000000000222e-01 9.477077512663524272e-01 1.010237999999999969e+00
6.700000000000000400e-01 9.797199520432032793e-01 1.019889000000000046e+00
6.900000000000000577e-01 1.062098428355841451e+00 1.022707999999999950e+00
7.099999999999999645e-01 1.093221112722607025e+00 1.019684999999999953e+00
7.299999999999999822e-01 1.052399510320465748e+00 1.013282000000000016e+00
7.500000000000000000e-01 1.000504450816394053e+00 1.005957999999999908e+00
7.700000000000000178e-01 9.743196670232161516e-01 9.962309999999999777e-01
7.900000000000000355e-01 9.686780120850070341e-01 9.916859999999999564e-01
8.100000000000000533e-01 9.744885829826727131e-01 9.898679999999999701e-01
8.300000000000000711e-01 9.800995182530888306e-01 9.904079999999999551e-01
8.499999999999999778e-01 9.831766508781998315e-01 9.930879999999999708e-01
8.699999999999999956e-01 9.848640148099543357e-01 9.970200000000000173e-01
8.900000000000000133e-01 9.924919218426793144e-01 9.990329999999999488e-01
9.100000000000000311e-01 9.944909851775098897e-01 1.001848999999999990e+00
9.300000000000000488e-01 1.006303555613283329e+00 1.003354999999999997e+00
9.499999999999999556e-01 1.012147372795896283e+00 1.003079000000000054e+00
9.699999999999999734e-01 1.009944867649866795e+00 1.001873999999999931e+00
9.899999999999999911e-01 1.010482821906220963e+00 1.001309999999999922e+00
