Lyapunov horizon probe
system: water small, 2652 atoms, dt 2 fs, 5.0 ps, rigid water molecule translated by 0.001 nm

  time(ps)    rms(nm)
      0.0   3.3634e-05
      0.0   3.3401e-03
      0.1   2.4311e-03
      0.1   3.3268e-03
      0.2   2.9613e-03
      0.2   4.8610e-03
      0.2   9.4319e-03
      0.3   1.4909e-02
      0.3   2.1234e-02
      0.4   2.8248e-02
      0.4   3.6900e-02
      0.4   4.6090e-02
      0.5   5.6106e-02
      0.5   6.6271e-02
      0.6   7.7891e-02
      0.6   8.6978e-02
      0.6   9.9226e-02
      0.7   1.1077e-01
      0.7   1.2251e-01
      0.8   1.3337e-01
      0.8   1.4358e-01
      0.8   1.5281e-01
      0.9   1.6192e-01
      0.9   1.7052e-01
      1.0   1.7880e-01
      1.0   1.8665e-01
      1.0   1.9473e-01
      1.1   2.0174e-01
      1.1   2.0942e-01
      1.2   2.1673e-01
      1.2   2.2450e-01
      1.2   2.3244e-01
      1.3   2.3910e-01
      1.3   2.4499e-01
      1.4   2.5064e-01
      1.4   2.5525e-01
      1.4   2.6097e-01
      1.5   2.6565e-01
      1.5   2.7007e-01
      1.6   2.7663e-01
      1.6   2.8172e-01
      1.6   2.8482e-01
      1.7   2.8825e-01
      1.7   2.9193e-01
      1.8   2.9743e-01
      1.8   3.0224e-01
      1.8   3.0710e-01
      1.9   3.1241e-01
      1.9   3.1632e-01
      2.0   3.2093e-01
      2.0   3.2512e-01
      2.0   3.2816e-01
      2.1   3.3276e-01
      2.1   3.3622e-01
      2.2   3.4057e-01
      2.2   3.4526e-01
      2.2   3.5000e-01
      2.3   3.5427e-01
      2.3   3.5781e-01
      2.4   3.6174e-01
      2.4   3.6589e-01
      2.4   3.7067e-01
      2.5   3.7480e-01
      2.5   3.7961e-01
      2.6   3.8342e-01
      2.6   3.8775e-01
      2.6   3.9137e-01
      2.7   3.9387e-01
      2.7   3.9711e-01
      2.8   4.0156e-01
      2.8   4.0441e-01
      2.8   4.0783e-01
      2.9   4.1032e-01
      2.9   4.1171e-01
      3.0   4.1563e-01
      3.0   4.1899e-01
      3.0   4.2272e-01
      3.1   4.2486e-01
      3.1   4.2866e-01
      3.2   4.3129e-01
      3.2   4.3297e-01
      3.2   4.3399e-01
      3.3   4.3682e-01
      3.3   4.4085e-01
      3.4   4.4261e-01
      3.4   4.4414e-01
      3.4   4.4709e-01
      3.5   4.4900e-01
      3.5   4.5273e-01
      3.6   4.5641e-01
      3.6   4.5985e-01
      3.6   4.6433e-01
      3.7   4.6822e-01
      3.7   4.7208e-01
      3.8   4.7624e-01
      3.8   4.7989e-01
      3.8   4.8368e-01
      3.9   4.8717e-01
      3.9   4.8939e-01
      4.0   4.9213e-01
      4.0   4.9527e-01
      4.0   4.9878e-01
      4.1   5.0241e-01
      4.1   5.0481e-01
      4.2   5.0708e-01
      4.2   5.0884e-01
      4.2   5.1188e-01
      4.3   5.1353e-01
      4.3   5.1590e-01
      4.4   5.1889e-01
      4.4   5.2178e-01
      4.4   5.2413e-01
      4.5   5.2718e-01
      4.5   5.3005e-01
      4.6   5.3234e-01
      4.6   5.3548e-01
      4.6   5.3837e-01
      4.7   5.4091e-01
      4.7   5.4350e-01
      4.8   5.4657e-01
      4.8   5.4855e-01
      4.8   5.5077e-01
      4.9   5.5353e-01
      4.9   5.5721e-01
      5.0   5.6009e-01
      5.0   5.6364e-01

growth rate lambda = 8.064 /ps  (Lyapunov time 0.124 ps)
  rms reaches 0.03 nm at t = 0.42 ps
  rms reaches 0.1 nm at t = 0.57 ps

Interpretation: a learned step whose error is a random position perturbation of size e has a useful horizon of ln(0.1/e)/lambda ps, before the structure is lost.

Size check (linear regime): a rigid 0.004 nm translation gives lambda 9.9 /ps,
against 8.1 /ps for 0.001 nm. The two agree to about 20 percent, so the rate is
not an artifact of one perturbation size. Lyapunov time is about 0.1 ps.
