score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
drift sigma 0.04  proposals per point 40  seed 7  kT 2.4943

radius 0.70  waters 44
  move    step    RMS nm     dU/kT     logH     accept
    rw   0.020    0.0020    11.689    0.000  8.386e-06
    rw   0.020    0.0020     9.760    0.000  5.774e-05
    rw   0.020    0.0020     7.028    0.000  8.863e-04
    rw   0.020    0.0020     7.542   -0.000  5.303e-04
    rw   0.020    0.0021     8.920    0.000  1.337e-04
    rw   0.020    0.0021    10.023    0.000  4.438e-05
    rw   0.020    0.0021    12.391    0.000  4.158e-06
    rw   0.020    0.0021     8.507    0.000  2.021e-04
    rw   0.020    0.0021     9.246    0.000  9.650e-05
    rw   0.020    0.0021    10.148    0.000  3.916e-05
    rw   0.020    0.0021    10.561    0.000  2.590e-05
    rw   0.020    0.0021     9.735    0.000  5.920e-05
    rw   0.020    0.0021     8.782    0.000  1.534e-04
    rw   0.020    0.0021    10.399    0.000  3.048e-05
    rw   0.020    0.0022     9.334    0.000  8.840e-05
    rw   0.020    0.0022     7.204    0.000  7.437e-04
    rw   0.020    0.0022     8.381    0.000  2.291e-04
    rw   0.020    0.0022     9.008    0.000  1.224e-04
    rw   0.020    0.0022     7.530    0.000  5.370e-04
    rw   0.020    0.0022     9.396    0.000  8.303e-05
    rw   0.020    0.0022    10.085    0.000  4.169e-05
    rw   0.020    0.0022     9.271    0.000  9.411e-05
    rw   0.020    0.0022     9.672    0.000  6.303e-05
    rw   0.020    0.0022    10.474    0.000  2.827e-05
    rw   0.020    0.0022     7.981    0.000  3.420e-04
    rw   0.020    0.0022    10.561    0.000  2.590e-05
    rw   0.020    0.0022     9.246    0.000  9.650e-05
    rw   0.020    0.0022     7.780    0.000  4.180e-04
    rw   0.020    0.0023     9.735    0.000  5.920e-05
    rw   0.020    0.0023    10.762    0.000  2.119e-05
    rw   0.020    0.0023     7.717    0.000  4.450e-04
    rw   0.020    0.0023    10.060    0.000  4.274e-05
    rw   0.020    0.0023     9.597    0.000  6.795e-05
    rw   0.020    0.0023    10.148    0.000  3.916e-05
    rw   0.020    0.0023     9.647    0.000  6.463e-05
    rw   0.020    0.0023    11.225    0.000  1.333e-05
    rw   0.020    0.0024     9.296    0.000  9.179e-05
    rw   0.020    0.0024     8.532    0.000  1.971e-04
    rw   0.020    0.0025    10.010    0.000  4.494e-05
    rw   0.020    0.0026    11.576    0.000  9.387e-06
    rw   0.040    0.0037    12.979    0.000  2.307e-06
    rw   0.040    0.0039     9.296    0.000  9.179e-05
    rw   0.040    0.0039    12.265    0.000  4.713e-06
    rw   0.040    0.0040     8.407    0.000  2.234e-04
    rw   0.040    0.0040    11.463    0.000  1.051e-05
    rw   0.040    0.0040    14.696    0.000  4.147e-07
    rw   0.040    0.0041    13.343    0.000  1.604e-06
    rw   0.040    0.0041    12.466    0.000  3.857e-06
    rw   0.040    0.0042     8.394    0.000  2.262e-04
    rw   0.040    0.0042    11.639    0.000  8.817e-06
    rw   0.040    0.0042    10.774    0.000  2.093e-05
    rw   0.040    0.0042    14.132    0.000  7.287e-07
    rw   0.040    0.0042    10.699    0.000  2.256e-05
    rw   0.040    0.0042    11.701    0.000  8.281e-06
    rw   0.040    0.0042    10.048    0.000  4.328e-05
    rw   0.040    0.0043    10.486    0.000  2.792e-05
    rw   0.040    0.0043    14.232    0.000  6.592e-07
    rw   0.040    0.0043    14.358    0.000  5.816e-07
    rw   0.040    0.0043    11.376    0.000  1.147e-05
    rw   0.040    0.0043    14.783    0.000  3.799e-07
    rw   0.040    0.0043     9.133    0.000  1.080e-04
    rw   0.040    0.0044    10.273    0.000  3.454e-05
    rw   0.040    0.0044    10.975    0.000  1.713e-05
    rw   0.040    0.0044     8.933    0.000  1.320e-04
    rw   0.040    0.0045     9.171    0.000  1.040e-04
    rw   0.040    0.0045    13.004    0.000  2.250e-06
    rw   0.040    0.0045    17.652    0.000  2.156e-08
    rw   0.040    0.0045    18.943    0.000  5.932e-09
    rw   0.040    0.0046    21.098    0.000  6.876e-10
    rw   0.040    0.0046    11.163    0.000  1.419e-05
    rw   0.040    0.0046    10.975    0.000  1.713e-05
    rw   0.040    0.0046    15.635    0.000  1.620e-07
    rw   0.040    0.0047    10.248    0.000  3.542e-05
    rw   0.040    0.0049    11.664    0.000  8.599e-06
    rw   0.040    0.0049    15.372    0.000  2.108e-07
    rw   0.040    0.0050    16.312    0.000  8.238e-08
    rw   0.040    0.0050    14.608    0.000  4.527e-07
    rw   0.040    0.0050    18.141    0.000  1.323e-08
    rw   0.040    0.0051    16.963    0.000  4.294e-08
    rw   0.040    0.0051    13.105    0.000  2.036e-06
    rw   0.060    0.0055    14.395    0.000  5.601e-07
    rw   0.060    0.0056    15.372    0.000  2.108e-07
    rw   0.060    0.0060    12.428    0.000  4.004e-06
    rw   0.060    0.0060    18.504    0.000  9.197e-09
    rw   0.060    0.0060    15.899    0.000  1.246e-07
    rw   0.060    0.0061    17.728    0.000  2.000e-08
    rw   0.060    0.0062    15.648    0.000  1.600e-07
    rw   0.060    0.0062    25.783    0.000  6.345e-12
    rw   0.060    0.0063    14.420    0.000  5.463e-07
    rw   0.060    0.0063    14.320    0.000  6.039e-07
    rw   0.060    0.0063    15.986    0.000  1.141e-07
