score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
proposals per point 40  seed 21  kT 2.4943

radius 0.50  waters 19
    move    step    RMS nm     dU/kT     accept
  jiggle   0.250    0.0034    -0.526  1.000e+00
  jiggle   0.250    0.0035     2.706  6.679e-02
  jiggle   0.250    0.0038     0.626  5.345e-01
  jiggle   0.250    0.0039    -1.140  1.000e+00
  jiggle   0.250    0.0040     0.063  9.393e-01
  jiggle   0.250    0.0040    -0.276  1.000e+00
  jiggle   0.250    0.0040     1.716  1.797e-01
  jiggle   0.250    0.0041     0.827  4.374e-01
  jiggle   0.250    0.0041     1.027  3.580e-01
  jiggle   0.250    0.0041     2.456  8.582e-02
  jiggle   0.250    0.0041     2.681  6.849e-02
  jiggle   0.250    0.0041     0.050  9.511e-01
  jiggle   0.250    0.0041    -1.453  1.000e+00
  jiggle   0.250    0.0041     0.213  8.082e-01
  jiggle   0.250    0.0041     3.959  1.908e-02
  jiggle   0.250    0.0042    -1.829  1.000e+00
  jiggle   0.250    0.0042     1.942  1.434e-01
  jiggle   0.250    0.0043     3.571  2.814e-02
  jiggle   0.250    0.0045     4.084  1.684e-02
  jiggle   0.250    0.0046     4.748  8.667e-03
  jiggle   0.250    0.0046     1.954  1.416e-01
  jiggle   0.250    0.0046     2.907  5.466e-02
  jiggle   0.250    0.0047    -0.752  1.000e+00
  jiggle   0.250    0.0047     5.074  6.257e-03
  jiggle   0.250    0.0047     4.335  1.310e-02
  jiggle   0.250    0.0047     4.022  1.792e-02
  jiggle   0.250    0.0047     2.368  9.368e-02
  jiggle   0.250    0.0047     3.896  2.032e-02
  jiggle   0.250    0.0047     1.002  3.670e-01
  jiggle   0.250    0.0048     7.066  8.536e-04
  jiggle   0.250    0.0048     1.979  1.381e-01
  jiggle   0.250    0.0049     4.134  1.601e-02
  jiggle   0.250    0.0049     3.069  4.645e-02
  jiggle   0.250    0.0049    -2.305  1.000e+00
  jiggle   0.250    0.0049     0.864  4.213e-01
  jiggle   0.250    0.0049     5.074  6.257e-03
  jiggle   0.250    0.0049    -0.539  1.000e+00
  jiggle   0.250    0.0051     5.838  2.914e-03
  jiggle   0.250    0.0052     4.673  9.343e-03
  jiggle   0.250    0.0053     5.362  4.691e-03
  jiggle   0.500    0.0073     7.492  5.575e-04
  jiggle   0.500    0.0074     0.526  5.909e-01
  jiggle   0.500    0.0075    10.273  3.454e-05
  jiggle   0.500    0.0078     4.548  1.059e-02
  jiggle   0.500    0.0082     7.893  3.734e-04
  jiggle   0.500    0.0082    13.192  1.865e-06
  jiggle   0.500    0.0084     0.263  7.687e-01
  jiggle   0.500    0.0086     8.432  2.179e-04
  jiggle   0.500    0.0086     7.918  3.642e-04
  jiggle   0.500    0.0087    10.261  3.498e-05
  jiggle   0.500    0.0087     5.224  5.384e-03
  jiggle   0.500    0.0087     7.855  3.877e-04
  jiggle   0.500    0.0089    13.994  8.364e-07
  jiggle   0.500    0.0089     5.938  2.636e-03
  jiggle   0.500    0.0090     6.665  1.275e-03
  jiggle   0.500    0.0090     2.280  1.023e-01
  jiggle   0.500    0.0091     7.229  7.253e-04
  jiggle   0.500    0.0091     1.704  1.820e-01
  jiggle   0.500    0.0092     8.294  2.501e-04
  jiggle   0.500    0.0092     7.342  6.480e-04
  jiggle   0.500    0.0093     3.132  4.363e-02
  jiggle   0.500    0.0093     3.069  4.645e-02
  jiggle   0.500    0.0093     9.346  8.730e-05
  jiggle   0.500    0.0094     9.872  5.158e-05
  jiggle   0.500    0.0094     4.285  1.378e-02
  jiggle   0.500    0.0094     9.121  1.094e-04
  jiggle   0.500    0.0094     4.159  1.562e-02
  jiggle   0.500    0.0095     3.232  3.947e-02
  jiggle   0.500    0.0096     2.669  6.935e-02
  jiggle   0.500    0.0096    10.511  2.723e-05
  jiggle   0.500    0.0096    11.576  9.387e-06
  jiggle   0.500    0.0096    20.697  1.027e-09
  jiggle   0.500    0.0097    13.481  1.398e-06
  jiggle   0.500    0.0097     3.621  2.676e-02
  jiggle   0.500    0.0098     6.540  1.445e-03
  jiggle   0.500    0.0101    18.793  6.894e-09
  jiggle   0.500    0.0106    12.691  3.078e-06
  jiggle   0.500    0.0109    -1.341  1.000e+00
  jiggle   0.500    0.0110     9.922  4.906e-05
  jiggle   0.750    0.0113    15.059  2.883e-07
  jiggle   0.750    0.0113     2.994  5.007e-02
  jiggle   0.500    0.0114    10.060  4.274e-05
  jiggle   0.750    0.0116     9.872  5.158e-05
  jiggle   0.750    0.0117    12.917  2.457e-06
  jiggle   0.750    0.0118    16.287  8.447e-08
  jiggle   0.750    0.0120    13.756  1.061e-06
  jiggle   0.750    0.0120    19.444  3.594e-09
  jiggle   0.750    0.0120    16.537  6.575e-08
  jiggle   0.750    0.0122    11.814  7.398e-06
  jiggle   0.750    0.0122    12.391  4.158e-06
  jiggle   0.750    0.0123    14.195  6.845e-07
  jiggle   0.750    0.0129    26.698  2.542e-12
  jiggle   0.750    0.0130    22.877  1.161e-10
  jiggle   0.750    0.0132    11.351  1.176e-05
  jiggle   0.750    0.0132    15.510  1.837e-07
  jiggle   0.750    0.0132    10.424  2.972e-05
  jiggle   0.750    0.0133    18.316  1.110e-08
  jiggle   0.750    0.0133    17.026  4.033e-08
  jiggle   0.750    0.0133    12.403  4.106e-06
  jiggle   0.750    0.0133    27.938  7.355e-13
  jiggle   0.750    0.0135    23.265  7.872e-11
  jiggle   0.750    0.0136    15.335  2.189e-07
  jiggle   0.750    0.0137    21.524  4.491e-10
  jiggle   1.000    0.0139    30.732  4.500e-14
  jiggle   0.750    0.0140    22.827  1.220e-10
  jiggle   0.750    0.0141    17.515  2.474e-08
  jiggle   0.750    0.0142     8.745  1.593e-04
  jiggle   0.750    0.0142    17.452  2.634e-08
  jiggle   0.750    0.0143    22.789  1.267e-10
  jiggle   0.750    0.0144    28.853  2.947e-13
  jiggle   0.750    0.0144    11.601  9.154e-06
  jiggle   0.750    0.0145    14.032  8.055e-07
  jiggle   0.750    0.0148    27.049  1.790e-12
  jiggle   0.750    0.0148    12.679  3.117e-06
  jiggle   0.750    0.0148    29.367  1.763e-13
  jiggle   0.750    0.0149    18.655  7.913e-09
  jiggle   0.750    0.0150    18.630  8.114e-09
  jiggle   1.000    0.0150    21.298  5.627e-10
  jiggle   0.750    0.0151     7.053  8.644e-04
  jiggle   0.750    0.0157     8.344  2.378e-04
  jiggle   1.000    0.0158    22.288  2.091e-10
  jiggle   0.750    0.0159    20.797  9.288e-10
  jiggle   1.000    0.0161    39.339  8.227e-18
  jiggle   1.000    0.0161    24.906  1.525e-11
  jiggle   1.000    0.0162    17.327  2.986e-08
  jiggle   1.000    0.0163    12.040  5.905e-06
  jiggle   1.000    0.0163    20.334  1.477e-09
  jiggle   1.000    0.0164    17.916  1.657e-08
  jiggle   1.000    0.0164     1.027  3.580e-01
  jiggle   1.000    0.0164    28.915  2.768e-13
  jiggle   1.000    0.0166    20.196  1.695e-09
  jiggle   0.750    0.0166    25.758  6.506e-12
  jiggle   1.000    0.0167    29.279  1.925e-13
  jiggle   1.000    0.0169    32.486  7.789e-15
  jiggle   1.000    0.0169    23.466  6.442e-11
  jiggle   1.000    0.0170    16.588  6.253e-08
  jiggle   1.000    0.0171    20.947  7.992e-10
  jiggle   1.000    0.0172    13.130  1.985e-06
  jiggle   1.000    0.0172    27.036  1.813e-12
  jiggle   1.000    0.0174    23.215  8.276e-11
  jiggle   1.000    0.0175    22.088  2.556e-10
  jiggle   1.000    0.0176    29.442  1.635e-13
  jiggle   1.000    0.0176    25.207  1.129e-11
  jiggle   1.000    0.0177    36.595  1.279e-16
  jiggle   1.000    0.0178    36.169  1.958e-16
  jiggle   1.000    0.0179    31.922  1.369e-14
  jiggle   1.000    0.0181    90.092  7.477e-40
  jiggle   1.000    0.0182    31.108  3.090e-14
  jiggle   1.000    0.0183    31.045  3.290e-14
  jiggle   1.000    0.0184    12.002  6.131e-06
  jiggle   1.000    0.0186    29.279  1.925e-13
  jiggle   1.000    0.0187    49.612  2.842e-22
  jiggle   1.000    0.0189    39.740  5.510e-18
  jiggle   1.000    0.0190    31.985  1.286e-14
  jiggle   1.000    0.0193    34.002  1.710e-15
  jiggle   1.000    0.0195    62.667  6.083e-28
  jiggle   1.000    0.0201    50.377  1.324e-22
  jiggle   1.500    0.0205    41.983  5.851e-19
  jiggle   1.000    0.0206    56.754  2.250e-25
  jiggle   1.000    0.0212    43.311  1.550e-19
  jiggle   1.000    0.0217   114.196  2.543e-50
  jiggle   1.500    0.0223    32.210  1.026e-14
  jiggle   1.500    0.0227    40.341  3.020e-18
  jiggle   1.500    0.0236    57.593  9.721e-26
  jiggle   1.500    0.0244    36.808  1.034e-16
  jiggle   1.500    0.0245    64.271  1.224e-28
  jiggle   1.500    0.0247    86.646  2.344e-38
  jiggle   1.500    0.0249    71.487  8.988e-32
  jiggle   1.500    0.0252    98.398  1.847e-43
  jiggle   1.500    0.0254    71.324  1.058e-31
  jiggle   1.500    0.0257   127.501  4.236e-56
  jiggle   1.500    0.0258    36.307  1.706e-16
  jiggle   1.500    0.0259    63.306  3.211e-28
  jiggle   1.500    0.0260    61.201  2.635e-27
  jiggle   1.500    0.0260    59.911  9.575e-27
  jiggle   1.500    0.0264    74.606  3.970e-33
  jiggle   1.500    0.0266    99.726  4.894e-44
  jiggle   1.500    0.0268    98.786  1.252e-43
  jiggle   1.500    0.0269    52.694  1.304e-23
  jiggle   1.500    0.0269    66.663  1.118e-29
  jiggle   1.500    0.0270    86.859  1.895e-38
  jiggle   1.500    0.0274    78.089  1.220e-34
  jiggle   1.500    0.0275   136.346  6.103e-60
  jiggle   1.500    0.0275    54.273  2.689e-24
  jiggle   1.500    0.0275   106.241  7.249e-47
  jiggle   1.500    0.0277    51.003  7.074e-23
  jiggle   1.500    0.0277   185.382  3.087e-81
  jiggle   1.500    0.0278    87.035  1.590e-38
  jiggle   1.500    0.0280    40.391  2.872e-18
  jiggle   1.500    0.0281    93.474  2.539e-41
  jiggle   1.500    0.0283    89.578  1.250e-39
  jiggle   1.500    0.0288   142.861  9.042e-63
  jiggle   1.500    0.0293    90.079  7.572e-40
  jiggle   1.500    0.0293   147.258  1.113e-64
  jiggle   1.500    0.0295   124.169  1.186e-54
  jiggle   1.500    0.0305   113.795  3.796e-50
  jiggle   1.500    0.0307   100.089  3.403e-44
  jiggle   1.500    0.0313   690.915 8.702e-301
  jiggle   2.000    0.0314   137.912  1.275e-60
  jiggle   2.000    0.0319   133.653  9.024e-59
  jiggle   2.000    0.0319    84.967  1.256e-37
  jiggle   2.000    0.0320   180.296  4.995e-79
  jiggle   2.000    0.0329   136.484  5.318e-60
  jiggle   1.500    0.0330   115.649  5.944e-51
  jiggle   2.000    0.0330   125.209  4.194e-55
  jiggle   2.000    0.0331   133.164  1.471e-58
  jiggle   2.000    0.0333   107.681  1.716e-47
  jiggle   2.000    0.0333    74.368  5.037e-33
  jiggle   1.500    0.0334   229.733 1.692e-100
  jiggle   2.000    0.0337    84.767  1.535e-37
  jiggle   2.000    0.0344   128.566  1.460e-56
  jiggle   2.000    0.0344    75.007  2.659e-33
  jiggle   2.000    0.0347   436.626 2.375e-190
  jiggle   2.000    0.0348   152.558  5.558e-67
  jiggle   2.000    0.0348    86.007  4.441e-38
  jiggle   2.000    0.0352   175.272  7.592e-77
  jiggle   2.000    0.0353   111.778  2.854e-49
  jiggle   2.000    0.0356   131.661  6.615e-58
  jiggle   2.000    0.0358   173.944  2.865e-76
  jiggle   2.000    0.0362   157.657  3.392e-69
  jiggle   2.000    0.0365   203.962  2.633e-89
  jiggle   2.000    0.0366   219.760  3.626e-96
  jiggle   2.000    0.0370   202.671  9.570e-89
  jiggle   2.000    0.0370    84.303  2.441e-37
  jiggle   2.000    0.0372   208.773  2.144e-91
  jiggle   2.000    0.0375   188.026  2.195e-82
  jiggle   2.000    0.0376   185.395  3.048e-81
  jiggle   2.000    0.0378   483.395 1.160e-210
  jiggle   2.000    0.0379   383.305 3.408e-167
  jiggle   2.000    0.0382   151.067  2.468e-66
  jiggle   2.000    0.0386   194.992  2.071e-85
  jiggle   2.000    0.0387    84.566  1.876e-37
